,X,Y,labels,district
391,-55.828087,-6.284512,0,1000022
392,-55.828037,-6.284564,0,1000022
393,-55.828533,-6.2840385,0,1000022
394,-55.83078,-6.3317947,0,1000022
395,-55.828037,-6.284564,0,1000022
396,-55.828037,-6.284564,0,1000022
397,-55.828133,-6.284458,0,1000022
398,-55.828182,-6.284406,0,1000022
399,-55.828236,-6.2843556,0,1000022
400,-55.828087,-6.284512,0,1000022
401,-55.83078,-6.331795,0,1000022
402,-55.82838,-6.2841973,0,1000022
403,-34.991196,-14.242772,0,1000023
404,-34.991093,-14.242704,0,1000023
405,-34.991093,-14.242704,0,1000023
406,-34.991093,-14.242704,0,1000023
407,-34.991093,-14.242704,0,1000023
408,-34.991196,-14.242772,0,1000023
409,-34.991196,-14.242772,0,1000023
410,-34.991093,-14.242704,0,1000023
411,-34.991093,-14.242704,0,1000023
412,-34.991093,-14.242704,0,1000023
413,-34.991093,-14.242704,0,1000023
414,-34.991093,-14.242704,0,1000023
415,-42.742935,-30.87235,0,1000024
416,-42.74291,-30.8723,0,1000024
417,-42.74293,-30.872349,0,1000024
418,-42.74291,-30.8723,0,1000024
419,-42.74291,-30.8723,0,1000024
420,-42.7429,-30.8723,0,1000024
421,-42.74291,-30.8723,0,1000024
422,-42.76311,-31.144245,0,1000024
423,-42.7429,-30.8723,0,1000024
424,33.715755,14.570134,0,1000025
425,33.715755,14.570134,0,1000025
426,33.715755,14.570134,0,1000025
427,33.715755,14.570134,0,1000025
428,33.715755,14.570134,0,1000025
429,33.715755,14.570134,0,1000025
430,33.715755,14.570134,0,1000025
431,33.715755,14.570134,0,1000025
432,33.715755,14.570134,0,1000025
433,33.715755,14.570134,0,1000025
434,28.367373,62.094315,1,1000026
435,28.367373,62.094315,1,1000026
436,28.367373,62.094315,1,1000026
437,28.367373,62.094315,1,1000026
438,28.367373,62.094315,1,1000026
439,28.367373,62.094315,1,1000026
440,28.367373,62.094315,1,1000026
441,28.367373,62.094315,1,1000026
442,28.367373,62.094315,1,1000026
443,28.367373,62.094315,1,1000026
444,42.784943,17.060156,0,1000028
445,42.784595,17.06063,0,1000028
446,42.784595,17.06063,0,1000028
447,42.784595,17.06063,0,1000028
448,42.78464,17.060575,0,1000028
449,42.784595,17.06063,0,1000028
450,42.784595,17.06063,0,1000028
451,42.784595,17.06063,0,1000028
452,42.784595,17.06063,0,1000028
453,42.784595,17.06063,0,1000028
454,42.78459,17.06063,0,1000028
455,42.784595,17.06063,0,1000028
456,42.784595,17.06063,0,1000028
457,42.784595,17.06063,0,1000028
458,42.784595,17.06063,0,1000028
459,42.784595,17.06063,0,1000028
460,42.784595,17.06063,0,1000028
461,42.784595,17.06063,0,1000028
462,42.78464,17.060574,0,1000028
463,42.784885,17.06023,0,1000028
464,42.78461,17.060614,0,1000028
465,42.784595,17.06063,0,1000028
466,42.784595,17.06063,0,1000028
467,42.784595,17.06063,0,1000028
468,42.784943,17.060156,0,1000028
469,42.14159,15.535276,0,1000028
470,14.046259,37.043003,0,1000030
471,14.04626,37.043,0,1000030
472,14.04626,37.043,0,1000030
473,14.04626,37.043,0,1000030
474,14.04626,37.043,0,1000030
475,14.04626,37.043,0,1000030
476,14.04626,37.043,0,1000030
477,14.04626,37.043,0,1000030
478,14.04626,37.043,0,1000030
479,4.9234962,4.642529,0,1000030
